"English","العربية"
"A new password reset link has been sent to your email address.","تم إرسال رابط إعادة تعيين كلمة المرور الجديد إلى بريدك الإلكتروني."
"Password updated successfully!","Password updated successfully!"
"Password updated successfully. You have been logged out.","Password updated successfully. You have been logged out."
"Password updated successfully. You have been logged out.","Password updated successfully. You have been logged out."
"Password updated successfully!","Password updated successfully!"
"Pause Subscription","Pause Subscription"
"Paused","Paused"
"Paused At","Paused At"
"Pay Now","Pay Now"
"Pay securely with PayPal - Bank accounts, credit cards, and PayPal balance supported","Pay securely with PayPal - Bank accounts, credit cards, و PayPal balance supported"
"Payment","الدفع"
"This payment has already been processed successfully.","This payment has already been processed successfully."
"Payment has been approved and subscription activated.","Payment has been approved و subscription activated."
"This payment has been approved. The invoice has been marked as paid and the subscription has been activated.","This payment has been approved. The invoice has been marked as paid و the subscription has been activated."
"Approved on:","تمت الموافقة في:"
"Payment Approved","Payment Approved"
"Payment Authentication","Payment Authentication"
"Payment Authentication Required","Payment Authentication Required"
"Payment Date","Payment Date"
"A payment error occurred. Please try again.","حدث خطأ في الدفع. يرجى المحاولة مرة أخرى."
"Payment failed. Please try again.","Payment failed. Please try again."
"Payment Failures","Payment Failures"
"Payment Gateway","Payment Gateway"
"Payment Gateway Settings","Payment Gateway Settings"
"Payment gateway settings saved successfully.","Payment gateway settings saved successfully."
"Payment Gateway Webhooks","Payment Gateway Webhooks"
"Payment Gateways","Payment Gateways"
"Payment gateways updated successfully.","Payment gateways updated successfully."
"Payment ID","Payment ID"
"Payment Information","Payment Information"
"Payment Instructions","Payment Instructions"
"There was a problem with your payment authentication link.","There was a problem with your payment authentication link."
"Payment Method","Payment Method"
"Thank you for your business! Your payment has been received and processed successfully.","Thank you for your business! Your payment has been received و processed successfully."
"Payment Reference","Payment Reference"
"This payment has been rejected.","This payment has been rejected."
"Rejected on:","Rejected on:"
"Payment Rejected","Payment Rejected"
"Reason: ","Reason: "
"Payment Settings","Payment Settings"
"Payment completed successfully","Payment completed successfully"
"Thank you for your business. All payments are due within the specified due date.","Thank you for your business. All payments are due within the specified due date."
"Payment token is missing","Payment token is missing"
"An error occurred while verifying payment","حدث خطأ أثناء التحقق من الدفع"
"Payment verification failed. Please try again.","Payment verification failed. Please try again."
"PayPal","PayPal"
"Brand Name","اسم العلامة التجارية"
"PayPal Client ID","PayPal Client ID"
"Your PayPal application client ID from the Developer Dashboard","Your PayPal application client ID from the Developer Dashboard"
"PayPal Client Secret","PayPal Client Secret"
"Your PayPal application client secret from the Developer Dashboard","Your PayPal application client secret from the Developer Dashboard"
"PayPal Configuration","PayPal Configuration"
"Configure your PayPal payment gateway settings. You can get these credentials from your PayPal Developer Dashboard.","Configure your PayPal payment gateway settings. You can get these credentials from your PayPal Developer Dashboard."
"PayPal Mode","PayPal Mode"
"PayPal Payment","PayPal Payment"
"PayPal Payment Settings","PayPal Payment Settings"
"Configure these webhook events in your PayPal Developer Dashboard","Configure these webhook events in your PayPal Developer Dashboard"
"Set up webhooks to receive real-time payment notifications from PayPal","Set up webhooks to receive real-time payment notifications from PayPal"
"Paystack","Paystack"
"Paystack Configuration","Paystack Configuration"
"Configure your Paystack API keys and settings","Configure your Paystack API keys و settings"
"Cards, Bank Transfer, Mobile Money","البطاقات، التحويل البنكي، المال المحمول"
"Pay securely with Paystack - Cards, Bank Transfer, USSD, and Mobile Money supported.","Pay securely with Paystack - Cards, Bank Transfer, USSD, و Mobile Money supported."
"Paystack","Paystack"
"Paystack Payment Settings","Paystack Payment Settings"
"Your Paystack public key (starts with pk_)","Your Paystack public key(starts with pk_)"
"Your Paystack secret key (starts with sk_)","Your Paystack secret key(starts with sk_)"
"Cards, Bank Transfer, Mobile Money","البطاقات، التحويل البنكي، المال المحمول"
"NGN (Nigerian Naira), USD (US Dollar), GHS (Ghanaian Cedi), ZAR (South African Rand), KES (Kenyan Shilling)","NGN(Nigerian Naira), USD(US Dollar), GHS(Ghanaian Cedi), ZAR(South African Rand), KES(Kenyan Shilling)"
"Add this URL to your Paystack dashboard webhook settings","أضف هذا الرابط إلى إعدادات webhook في لوحة Paystack"
"Pending","قيد الانتظار"
"Pending Subscriptions","Pending Subscriptions"
"Pending Tickets","Pending Tickets"
"per file","per file"
"Per Page","لكل صفحة"
"Percentage","النسبة المئوية"
"Performance Optimization","Performance Optimization"
"Performance Recommendations","Performance Recommendations"
"Always use production mode unless actively working on new features or debugging.","Always use production mode unless actively working on new features أو debugging."
"Period","Period"
"Personal Information","Personal Information"
"Phone","الهاتف"
"Phone:","Phone:"
"Plan","الخطة"
"Plan activated successfully","Plan activated successfully"
"Plan created successfully","Plan created successfully"
"Plan deactivated successfully","Plan deactivated successfully"
"Plan deleted successfully","Plan deleted successfully"
"Plan Details","Plan Details"
"Plan Distribution","Plan Distribution"
"Plan Features","Plan Features"
"This plan is in use by active subscriptions and cannot be deleted","This plan is in use by active subscriptions و cannot be deleted"
"Plan marked as featured","Plan marked as featured"
"Plan Name","Plan Name"
"Plan not found","Plan not found"
"Plan Price","Plan Price"
"Plan unmarked as featured","Plan unmarked as featured"
"Plan updated successfully","Plan updated successfully"
"Plans","الخطط"
"Plans Page Link","Plans Page Link"
"Plans Page Settings","Plans Page Settings"
"Plans Page Title","Plans Page Title"
"Plans Read","Plans Read"
"Please check your cron job setup. It has not run in the last 48 hours.","Please check your cron job setup. It has not run in the last 48 hours."
"Please copy your new API token now.","Please copy your new API token now."
"Please do not close this window or navigate away until the update is complete.","Please do not close this window أو navigate away until the update is complete."
"Please provide a reason for rejecting this payment...","Please provide a reason for rejecting this payment..."
"Please select an action","Please select an action"
"Please select an option","Please select an option"
"Please wait while we retrieve the subscription information.","Please wait while we retrieve the subscription information."
"portal","portal"
"Prefix","Prefix"
"Preview","معاينة"
"Previous","السابق"
"Price","Price"
"Pricing","الأسعار"
"Pricing &amp; Limits","Pricing &amp; Limits"
"Pricing Plan","Pricing Plan"
"Pricing Section Subtitle","Pricing Section Subtitle"
"Pricing Section Title","Pricing Section Title"
"Primary","Primary"
"Primary Button Text","Primary Button Text"
"Primary Button Type","Primary Button Type"
"Primary Button URL","Primary Button URL"
"Priority","الأولوية"
"Priority:","Priority:"
"Priority Levels","Priority Levels"
"Privacy Policy","Privacy Policy"
"Set up and manage your privacy policy page that users can view","Set up و manage your privacy policy page that users can view"
"Processed","Processed"
" Processing...","جاري المعالجة..."
"Processing cache clearing...","Processing cache clearing..."
"Processing Days","Processing Days"
"Processing days example","Processing days example"
"Processing error","Processing error"
"production","production"
"Profile Image","Profile Image"
"Profile Image Removed Successfully","Profile Image Removed Successfully"
"Profile updated successfully","Profile updated successfully"
"Provide a clear and descriptive subject","Provide a clear و descriptive subject"
"Provide translations for all supported languages","Provide translations for all supported languages"
"Provider","Provider"
"Public Key","Public Key"
"Publishable Key","Publishable Key"
"Your Stripe publishable key (starts with pk_)","Your Stripe publishable key(starts with pk_)"
" Purchase Key","مفتاح الشراء"
"Pusher","Pusher"
"Pusher connection test failed, Check logs for more details","Pusher connection test failed, Check logs for more details"
"Pusher connection test successful!","Pusher connection test successful!"
"Pusher test connection error:","Pusher test connection error:"
"Pusher test connection failed:","Pusher test connection failed:"
"QR Code Payments","QR Code Payments"
"Qty","Qty"
"Quantity","Quantity"
"Question","Question"
"Queue Driver","Queue Driver"
"Choose how background jobs and tasks are processed by your application.","Choose how background jobs و tasks are processed by your application."
"Queue Method","Queue Method"
"Queues allow deferring time-consuming tasks, such as sending emails, until a later time.","Queues allow deferring time-consuming tasks, such as sending emails, until a later time."
"Queue Monitoring","Queue Monitoring"
"Quick Actions","Quick Actions"
"Quick Filters","Quick Filters"
"Quick Response Tips:","Quick Response Tips:"
"Quick setup to launch your marketing campaigns","Quick setup to launch your marketing campaigns"
"Ranked by activities","Ranked by activities"
"Rate","تقييم"
"Razorpay","Razorpay"
"Razorpay API Keys","Razorpay API Keys"
"Please authenticate this payment to continue your subscription. This is required by RBI regulations for all recurring payments.","Please authenticate this payment to continue your subscription. This is required by RBI regulations for all recurring payments."
"Your subscription payment requires authentication as per RBI regulations.","Your subscription payment requires authentication as per RBI regulations."
"Due to Reserve Bank of India (RBI) regulations, all recurring payments through Razorpay require customer authentication for each transaction.","Due to Reserve Bank of India(RBI)regulations, all recurring payments through Razorpay require customer authentication for each transaction."
"Razorpay auto-billing requires additional setup with customer tokens and saved payment methods.","Razorpay auto-billing requires additional setup with customer tokens و saved payment methods."
"This feature requires merchant account approval from Razorpay and additional integration steps.","This feature requires merchant account approval from Razorpay و additional integration steps."
"Here&#039;s how the auto-billing process works:","إليك كيفية عمل عملية الفوترة التلقائية:"
"Razorpay Configuration","Razorpay Configuration"
"Enter your Razorpay API credentials and configure payment settings","Enter your Razorpay API credentials و configure payment settings"
"Unlike other payment gateways, Razorpay cannot automatically charge your payment method without your authentication due to RBI guidelines. You must approve each recurring payment.","Unlike other payment gateways, Razorpay cannot automatically charge your payment method without your authentication due to RBI guidelines. You must approve each recurring payment."
"Key ID","معرّف المفتاح"
"Your Razorpay Key ID (starts with rzp_test_ or rzp_live_)","Your Razorpay Key ID(starts with rzp_test_ أو rzp_live_)"
"Key Secret","سر المفتاح"
"Your Razorpay Key Secret (keep this secure)","Your Razorpay Key Secret(keep this secure)"
"Razorpay Payment","Razorpay Payment"
"Razorpay payment is currently not available","Razorpay payment is currently not available"
"Razorpay Payment Settings","Razorpay Payment Settings"
"RBI Compliance for Recurring Payments","RBI Compliance for Recurring Payments"
"Due to Reserve Bank of India (RBI) regulations, all recurring payments require additional authentication by the customer for each transaction.","Due to Reserve Bank of India(RBI)regulations, all recurring payments require additional authentication by the customer for each transaction."
"Save your payment method for future use","Save your payment method for future use"
"Approve each recurring payment when notified","وافق على كل دفعة متكررة عند الإشعار"
"Check your email for payment authentication links when renewals are due","تحقق من بريدك الإلكتروني للحصول على روابط مصادقة الدفع عند استحقاق التجديدات"
"Supports UPI, Cards, Net Banking, and Digital Wallets","Supports UPI, Cards, Net Banking, و Digital Wallets"
"Webhook Configuration","Webhook Configuration"
"Configure webhook endpoints in your Razorpay dashboard","Configure webhook endpoints in your Razorpay dashboard"
"Enable these events: payment.captured, payment.failed, order.paid, payment.authorized","Enable these events: payment.captured, payment.failed, order.paid, payment.authorized"
"Webhook Secret","Webhook Secret"
"Optional: Secret for webhook signature verification","Optional: Secret for webhook signature verification"
"Copy the URL below and add it as a webhook endpoint in your Razorpay dashboard","Copy the URL below و add it as a webhook endpoint in your Razorpay dashboard"
"As per Reserve Bank of India (RBI) regulations, all recurring payments require additional authentication.","As per Reserve Bank of India(RBI)regulations, all recurring payments require additional authentication."
"Re-Captcha","Re-Captcha"
"Real-Time Event Broadcasting","Real-Time Event Broadcasting"
"Set up real-time communication channels for instant updates and live interactions across your application.","Set up real-time communication channels for instant updates و live interactions across your application."
"Reason for Rejection","Reason for Rejection"
"Re-Captcha site key","Re-Captcha site key"
"Re-Captcha site secret","Re-Captcha site secret"
"Recent Invoices","Recent Invoices"
"Recent Transactions","Recent Transactions"
"Recent Webhook Activity","Recent Webhook Activity"
"Recommended Actions:","Recommended Actions:"
"Recommended size","Recommended size"
"Redis","Redis"
"Redis connection test failed","Redis connection test failed"
"Redis connection test successful","Redis connection test successful"
"To enable Redis, please complete the following steps","To enable Redis, please complete the following steps"
"Redis Not Available","Redis Not Available"
"Redis queue is enabled. Configure workers to process background jobs efficiently.","Redis queue is enabled. Configure workers to process background jobs efficiently."
"Redis queue is now enabled. Laravel Horizon is available for queue monitoring.","Redis queue is now enabled. Laravel Horizon is available for queue monitoring."
"Redis Server Status","Redis Server Status"
"Check the status and connectivity of your Redis server for caching and queuing.","تحقق من حالة واتصال خادم Redis الخاص بك للتخزين المؤقت والطوابير."
"Refresh","تحديث"
"Refresh Service","Refresh Service"
"Regenerate Secret","Regenerate Secret"
"Register","التسجيل"
"Welcome! Your registration is completed successfully.","Welcome! Your registration is completed successfully."
"Registrations are temporarily closed","Registrations are temporarily closed"
"Reject Payment","Reject Payment"
"Are you sure you want to reject this payment? This action cannot be undone.","هل أنت متأكد من رفض هذه الدفعة؟ لا يمكن التراجع عن هذا الإجراء."
"Remember me","Remember me"
"Remove","إزالة"
"Remove Image","Remove Image"
"Remove Image","Remove Image"
"Removed successfully","Removed successfully"
"Renew Support","Renew Support"
"Reopen Ticket","Reopen Ticket"
"Replied to","Replied to"
"Replies:","Replies:"
"Reply added successfully!","Reply added successfully!"
"Reply added and ticket closed successfully!","Reply added و ticket closed successfully!"
"Reply &amp; Close","Reply &amp; Close"
"Reply attachment upload failed","Reply attachment upload failed"
"Reply Date:","Reply Date:"
"Reply deleted successfully!","Reply deleted successfully!"
"Reply to Client","Reply to Client"
"Require email verification before tenants can access their accounts","Require email verification before tenants can access their accounts"
"Required File Name","Required File Name"
"Resend Verification Email","Resend Verification Email"
"Reset","إعادة تعيين"
"Reset Password","Reset Password"
"Reset Password","Reset Password"
"Reset to Defaults","Reset to Defaults"
"Resolved","Resolved"
"Resource Limits","Resource Limits"
"Respond to the client promptly","Respond to the client promptly"
"Response sent","Response sent"
"Restore","استعادة"
"Resume Now","Resume Now"
"Resume Subscription","Resume Subscription"
"Resume subscription on","Resume subscription on"
"Resumes At","Resumes At"
"Return to Dashboard","Return to Dashboard"
"Revenue","Revenue"
"Revenue Over Time","Revenue Over Time"
"Review the client&#039;s response thoroughly","Review the client&#039;s response thoroughly"
"Review Ticket in Admin Panel","Review Ticket in Admin Panel"
"Review the ticket and client information","Review the ticket و معلومات العميل"
"Role","الدور"
"Role deleted successfully","Role deleted successfully"
"The Role is already being used","The Role is already being used"
"Failed to save role!","Failed to save role!"
"Role created successfully","Role created successfully"
"Role","الدور"
"Role updated successfully","Role updated successfully"
"Roles &amp; Permissions","Roles &amp; Permissions"
"Run Cron Manually","Run Cron Manually"
"Run Tool","Run Tool"
"Running...","Running..."
"© 2025 Your SaaS Platform. All rights reserved.","© 2025 Your SaaS Platform. All rights reserved."
"Sales","Sales"
"Sample keys","Sample keys"
"Sandbox Mode","Sandbox Mode"
"Save","حفظ"
"Save Changes","Save Changes"
"Save Changes","Save Changes"
"Save Configuration","Save Configuration"
"Save Plan","Save Plan"
"Save Secret","Save Secret"
"Save Settings","Save Settings"
"Save Template","Save Template"
"Saving...","Saving..."
"Scheduled Tasks Management","Scheduled Tasks Management"
"Search FAQs...","Search FAQs..."
"Search merge fields","Search merge fields"
"Search plans","Search plans"
"Search Tenant","Search Tenant"
"Secondary Button Text","Secondary Button Text"
"Secondary Button Type","Secondary Button Type"
"Secondary Button URL","Secondary Button URL"
"Secret Key","Secret Key"
"Your Stripe secret key (starts with sk_)","Your Stripe secret key(starts with sk_)"
"Section Title and Subtitle","Section Title و Subtitle"
"Section title subtitle settings","Section title subtitle settings"
"This is a secure area of the application. Please confirm your password before continuing.","This is a secure area of the application. Please confirm your password before continuing."
"Secure Password Reset","Secure Password Reset"
"Secure payment powered by PayPal","Secure payment powered by PayPal"
"Secure your webhooks with a secret token to verify requests","Secure your webhooks with a secret token to verify requests"
"Security","الأمان"
"Select a Plan","Select a Plan"
"Select Action","Select Action"
"Select Admin","Select Admin"
"Select Admin to Add","Select Admin to Add"
"Select assignee","Select assignee"
"Select Assignees","Select Assignees"
"Select Country","Select Country"
"Select Date Format","Select Date Format"
"Select Default Language","Select Default Language"
"Select taxes that should be applied to invoices by default","Select taxes that should be applied to invoices by default"
"Select Department","Select Department"
"Please select departments to perform bulk action","Please select departments to perform bulk action"
"Select File","Select File"
"Select Language","Select Language"
"Select Option","Select Option"
"Select Option","Select Option"
"Select or browse to Hero Image from your gallery.","اختيار أو browse to Hero Image from your gallery."
"Select Period","Select Period"
"Please select a plan to continue.","Please select a plan to continue."
"Select Priority","Select Priority"
"Select Role","Select Role"
"Select SMTP Encryption","Select SMTP Encryption"
"Select SMTP Protocol","Select SMTP Protocol"
"Select Status","Select Status"
"Select Taxes","Select Taxes"
"Select Tenant","Select Tenant"
"Select the appropriate client for this ticket","Select the appropriate client for this ticket"
"Select Time Format","Select Time Format"
"Select Timezone","Select Timezone"
"Select or browse to Unique Feature Image from your gallery.","اختيار أو browse to Unique Feature Image from your gallery."
"Selected:","Selected:"
"Selected Assignees:","Selected Assignees:"
"Some selected departments have tickets assigned to them.","Some selected departments have tickets assigned to them."
"Selected Files","Selected Files"
"The selected user must be an active admin to assign tickets.","The selected user must be an active admin to assign tickets."
"Send email notification","Send email notification"
"We&#039;ll send instructions to your email","We&#039;ll send instructions to your email"
"Send Reply","Send Reply"
"Send reset link","Send reset link"
"Send Test Email","Send Test Email"
"Send test email to make sure that your SMTP settings is set correctly.","Send test email to make sure that your SMTP settings is set correctly."
"Is Verified User","مستخدم موثّق"
"Send Welcome Mail","Send Welcome Mail"
"Sender Email","Sender Email"
"Sender Name","Sender Name"
"Sending...","Sending..."
"Sends a test ping to verify webhook is correctly configured and receiving messages.","Sends a test ping to verify webhook is correctly configured و receiving messages."
"Sends welcome email to new users after registration.","Sends welcome email to new users after registration."
"Meta Description","الوصف التعريفي"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta Title"
"Session Driver","Session Driver"
"Set background color","Set background color"
"✓ Set as base currency if this will be your primary currency for subscriptions","✓ Set as base currency if this will be your primary currency for subscriptions"
"Set the default language for new tenants registering on the platform","Set the default language for new tenants registering on the platform"
"Set Invoice And Payment Details","Set Invoice And Payment Details"
"Set message color","Set message color"
"Set link text color","Set link text color"
"Set priority based on urgency and impact","Set priority based on urgency و impact"
"Set realistic expectations for resolution","Set realistic expectations for resolution"
"Set the number of items per page for tables across the application.","Set the number of items per page for tables across the application."
"Set up the basic information for your offline payment method","Set up the basic information for your offline payment method"
"setting","setting"
"Failed to save settings","Failed to save settings"
"Settings saved successfully","Settings saved successfully"
"Setting up the Cronjob","Setting up the Cronjob"
"Settings","الإعدادات"
"Settings have been reset to default values","Settings have been reset to default values"
"Settings saved successfully.","Settings saved successfully."
"Setup","الإعداد"
"Setup Auto Billing","Setup Auto Billing"
"Setup Guide","Setup Guide"
"Configure automatic billing for recurring subscriptions","Configure automatic billing for recurring subscriptions"
"Setup Subscription","Setup Subscription"
"Set up webhooks to receive real-time notifications when events happen in your Stripe account.","Set up webhooks to receive real-time notifications when events happen in your Stripe account."
"Show active only","Show active only"
"Show in menu","Show in menu"
"Show Preview","Show Preview"
"Showing page","Showing page"
"Sign in to access your WhatsApp marketing dashboard","Sign in to access your WhatsApp marketing dashboard"
"Site Description","Site Description"
"Site Logo","Site Logo"
"Site Name","Site Name"
"This site is protected by reCAPTCHA and the Google","This site is protected by reCAPTCHA و the Google"
"Size:","Size:"
"Slug","Slug"
"SMTP","SMTP"
"SMTP Encryption","SMTP Encryption"
"SMTP Host","SMTP Host"
"SMTP Password","SMTP Password"
"SMTP Port","SMTP Port"
"SMTP Protocol","SMTP Protocol"
"SMTP Username","SMTP Username"
"Software Update Management","Software Update Management"
"Manage application version updates, check for new releases, and control the update deployment process.","Manage application version updates, check for new releases, و control the update deployment process."
"Something went wrong!","Something went wrong!"
"This field contain invalid characters, script, or HTML.","This field contain invalid characters, script, أو HTML."
"SR.NO","SR.NO"
"SSL","SSL"
"SSL is required for desktop notifications.","SSL is required for desktop notifications."
"Staff","Staff"
"Start Date","Start Date"
"Started","Started"
"Started At","Started At"
"Started On","Started On"
"Status","الحالة"
"#Select Color","#اختر اللون"
"Status:","Status:"
"Status Options","Status Options"
"Status updated successfully","Status updated successfully"
"Stop Bot","Stop Bot"
"Storage linked successfully","Storage linked successfully"
"Stripe","Stripe"
"Stripe Configuration","Stripe Configuration"
"Configure your Stripe API keys and webhook settings","Configure your Stripe API keys و webhook settings"
"Stripe Payment Settings","Stripe Payment Settings"
"Stripe Subscription ID","Stripe Subscription ID"
"Stripe Webhook Details","Stripe Webhook Details"
"Subdomain","Subdomain"
"Subject","الموضوع"
"Subject:","Subject:"
"Submit","إرسال"
"Subscribe to these fields:","Subscribe to these fields:"
"Subscribed By","Subscribed By"
"Subscribed On ","Subscribed On "
"Subscriptions","الاشتراكات"
"Subscription Details","Subscription Details"
"Subscription Plans","Subscription Plans"
"Subscription Renewal","Subscription Renewal"
"Subscription Stats","Subscription Stats"
"Subscription Status","Subscription Status"
"Subscription Summary","Subscription Summary"
"Subscription Timeline","Subscription Timeline"
"Subscriptions","الاشتراكات"
"Subtotal","Subtotal"
"Successful","Successful"
"Successful payment","Successful payment"
"Successful Payments","Successful Payments"
"Successful Transactions","Successful Transactions"
"Successfully returned to admin panel","Successfully returned to admin panel"
"Summary Statistics","Summary Statistics"
"Support","الدعم"
"Support Agent","Support Agent"
"Support Tickets","Support Tickets"
"Supported Currencies","Supported Currencies"
"Supported Features","Supported Features"
"Supported formats: Images, Documents, Archives","Supported formats: Images, Documents, Archives"
"This will completely block the tenant&#039;s access.","This will completely block the tenant&#039;s access."
"Suspended","Suspended"
"Swift Code","Swift Code"
"Symbol","Symbol"
"Failed to sync languages","Failed to sync languages"
"Sync Languages","Sync Languages"
"Sync with Stripe","Sync with Stripe"
"Syncing","جاري المزامنة"
"System","System"
"System","System"
"System Core Settings","System Core Settings"
"Configure fundamental system-wide parameters and default behaviors that impact overall application performance and user experience. ","Configure fundamental system-wide parameters and default behaviors that impact overall application performance and user experience. "
"System Details and Diagnostics","System Details و Diagnostics"
"System Information","System Information"
"System Logs","System Logs"
"System Settings","System Settings"
"System Statistics","System Statistics"
"System Tools","System Tools"
"System Update","System Update"
"Table Configuration","Table Configuration"
"Tables Pagination Limit","Tables Pagination Limit"
"Tax","Tax"
"Tax added successfully","Tax added successfully"
"Failed to delete tax","Failed to delete tax"
"Tax deleted successfully","Tax deleted successfully"
"Tax Enabled","Tax Enabled"
"Tax Id Vat Number","Tax Id Vat Number"
"Tax","Tax"
"Tax Name","Tax Name"
"Tax Rates","Tax Rates"
"Failed to save tax","Failed to save tax"
"Tax Settings","Tax Settings"
"Tax updated successfully","Tax updated successfully"
"Taxes","Taxes"
"Team","الفريق"
"Team Limit","Team Limit"
"Team Members","Team Members"
"Template Bots","Template Bots"
"Template Configuration","Template Configuration"
"Template Information","Template Information"
"Template Name","Template Name"
"Template not found","Template not found"
"Tenant","Tenant"
"Tenant created successfully","Tenant created successfully"
"Tenant Credit Balances","Tenant Credit Balances"
"Tenant deleted successfully","Tenant deleted successfully"
"Tenant Details","Tenant Details"
"This tenant does not have an active subscription","This tenant does not have an active subscription"
"Tenant Information","Tenant Information"
"Tenant Languages","Tenant Languages"
"Tenant marked for deletion successfully","Tenant marked for deletion successfully"
"Tenant Name","Tenant Name"
"Tenant name has already been taken","Tenant name has already been taken"
