"English","العربية"
"Allowed formats: JPEG, PNG. Max 512KB.","الصيغ المسموحة: JPEG، PNG. الحد الأقصى 512 كيلوبايت."
"Already Registered ?","مسجل بالفعل؟"
"Always provide at least the default language translation","قدم دائماً ترجمة اللغة الافتراضية على الأقل"
"Amount","المبلغ"
"Amount Due","المبلغ المستحق"
"Amount Paid","المبلغ المدفوع"
"An error occurred:","حدث خطأ:"
"and","and"
"And :count more features","و :count ميزة إضافية"
"Announcement","إعلان"
"Site-Wide Announcements","إعلانات عامة للموقع"
"Create and manage global messages that can be displayed across the application to communicate important updates or information.","إنشاء و manage global messages that can be displayed across the application to communicate important updates أو information."
"(Enable this option to display an announcement on the login page.)","(فعّل هذا الخيار لعرض إعلان في صفحة تسجيل الدخول.)"
"Answer","الإجابة"
"Answered","تمت الإجابة"
"Answered Tickets","التذاكر المجابة"
"API Base URL","رابط API الأساسي"
"API Endpoint Information","معلومات نقطة نهاية API"
"This API endpoint will receive and process events from WhatsApp&#039;s servers.","This API endpoint will receive و process events from WhatsApp&#039;s servers."
"API Integration &amp; Access","تكامل ووصول API"
"Securely extend your application&#039;s functionality through our robust API, enabling seamless data exchange, custom integrations, and programmatic access to your system&#039;s core resources","Securely extend your application&#039;s functionality through our robust API, enabling seamless data exchange, custom integrations, و programmatic access to your system&#039;s core resources"
"API Management","إدارة API"
"API Settings","إعدادات API"
"API Token","رمز API"
"Configure your API token settings below.","قم بتكوين إعدادات رمز API الخاص بك أدناه."
"APP_DEBUG:","وضع التشخيص:"
"WhatsMark-Saas - Your WhatsApp Marketing Solution","WhatsMark-Saas - حل التسويق عبر واتساب"
"APP_ENV:","بيئة التطبيق:"
"App ID","معرّف التطبيق"
"App Key","مفتاح التطبيق"
"WhatsMark-Saas","WhatsMark-Saas"
"App Secret","سر التطبيق"
"Apply","تطبيق"
"Apply Changes","تطبيق التغييرات"
"Approve Payment","الموافقة على الدفع"
"Approving this payment will mark the invoice as paid and activate the subscription.","Approving this payment will mark the invoice as paid و activate the subscription."
"Approved","موافق عليه"
"Are you sure you want to approve this payment? This will mark the invoice as paid and activate the subscription.","Are you sure you want to approve this payment? This will mark the invoice as paid و activate the subscription."
"Are you sure you want to deactivate the license? This will remove the license and make the system inactive.","Are you sure you want to deactivate the license? This will remove the license و make the system inactive."
"Are you sure you want to delete","هل أنت متأكد من حذف"
"Assign to appropriate team member if needed","عيّن لعضو الفريق المناسب إذا لزم الأمر"
"Assign Department","تعيين القسم"
"Assign To","تعيين لـ"
"Assign to Admin","تعيين للمدير"
"Assign to User","تعيين للمستخدم"
"Assign to users","تعيين للمستخدمين"
"Assigned Admins","المديرون المعينون"
"Assigned admins updated successfully.","تم تحديث المديرين المعينين بنجاح."
"Attach any supporting files if necessary","أرفق أي ملفات داعمة إذا لزم الأمر"
"Attachments:","المرفقات:"
"Forgot your password? No problem. Just let us know your email address and we will email you a password reset link.","Forgot your password? No problem. Just let us know your email address و we will email you a password reset link."
"Authenticate Now","المصادقة الآن"
"Authenticate Payment","مصادقة الدفع"
"Complete the authentication process for your recurring payment","أكمل عملية المصادقة للدفع المتكرر"
"Authenticate Recurring Payment","مصادقة الدفع المتكرر"
"This authentication link will expire in 24 hours. If you don&#039;t authenticate the payment, your subscription benefits may be affected.","ستنتهي صلاحية رابط المصادقة هذا خلال 24 ساعة. إذا لم تصادق على الدفع، فقد تتأثر مزايا اشتراكك."
"Author Name","اسم المؤلف"
"Auto Billing Setup Required","يتطلب إعداد الفوترة التلقائية"
"Auto charging is not supported for PayPal. Please set up subscription billing.","الشحن التلقائي غير مدعوم لـ PayPal. يرجى إعداد فوترة الاشتراك."
"Auto Clear Chat History","مسح سجل المحادثة تلقائياً"
"Auto Dismiss Desktop Notifications After X Seconds (0 to disable)","إخفاء إشعارات سطح المكتب تلقائياً بعد X ثانية (0 للتعطيل)"
"Auto-generated if empty","يتم إنشاؤه تلقائياً إذا كان فارغاً"
"Auto Renewal","التجديد التلقائي"
"Available Merge Fields","حقول الدمج المتاحة"
"Available Plans","الخطط المتاحة"
"Avatar","الصورة الرمزية"
"Average Credit","الرصيد المتوسط"
"Awaiting action","في انتظار الإجراء"
"Awaiting info","في انتظار المعلومات"
"Back","رجوع"
"Back to Invoices","العودة إلى الفواتير"
"Back to Modules","العودة إلى الوحدات"
"Back to Plans","العودة إلى الخطط"
"Back to subscription","العودة إلى الاشتراك"
"Back to Templates","العودة إلى القوالب"
"Back to tickets","العودة إلى التذاكر"
"Back to Transactions","العودة إلى المعاملات"
"Bank Details","تفاصيل البنك"
"Bank Name","اسم البنك"
"Bank Transfers","التحويلات البنكية"
"Base price","السعر الأساسي"
"Basic Information","المعلومات الأساسية"
"Before Amount","قبل المبلغ"
"Before you start using subscriptions, please set your base currency.","قبل أن تبدأ باستخدام الاشتراكات، يرجى تحديد عملتك الأساسية."
"Before performing an update, it is strongly recommended to create a full backup of your current installation (files and database) and review the changelog.","Before performing an update, it is strongly recommended to create a full backup of your current installation(files و database)and review the changelog."
"Best Practices","أفضل الممارسات"
"Best Selling Plan","الخطة الأكثر مبيعاً"
"Bill To","إصدار الفاتورة إلى"
"Billing Cycle","دورة الفوترة"
"Billing Overview","نظرة عامة على الفواتير"
"Billing Period","فترة الفوترة"
"Bot Flow","سير عمل البوت"
"Bot Protection","حماية من البوتات"
"Implement advanced bot prevention and user verification mechanisms to protect your application from automated attacks and spam.","تنفيذ آليات متقدمة لمنع البوتات والتحقق من المستخدمين لحماية تطبيقك من الهجمات الآلية والبريد المزعج."
"Bot Reply","رد البوت"
"Bot Reply Limit","حد ردود البوت"
"Brief description of this payment method","وصف مختصر لطريقة الدفع هذه"
"Bug Fix","إصلاح خلل"
"Bug fixes and performance improvements","Bug fixes و performance improvements"
"Bulk Actions","إجراءات جماعية"
"Bulk Delete","حذف جماعي"
"Business Address","عنوان العمل"
"Business Email","البريد الإلكتروني للعمل"
"Business Information","معلومات العمل"
"Business Name","اسم العمل"
"by","by"
"Admin cache operations only affect global/admin data, not tenant-specific cache.","عمليات ذاكرة المدير المؤقتة تؤثر فقط على البيانات العامة/بيانات المدير، وليس على البيانات الخاصة بالمستأجرين."
"Cache cleared successfully","تم مسح الذاكرة المؤقتة بنجاح"
"Configure caching strategies to improve application speed and reduce server load through intelligent data storage.","Configure caching strategies to improve application speed و reduce server load through intelligent data storage."
"Cache Dir Writable:","مجلد الذاكرة المؤقتة قابل للكتابة:"
"Cache Driver:","محرك الذاكرة المؤقتة:"
"Configure how your application stores cached data for improved performance.","تكوين كيفية تخزين تطبيقك للبيانات المؤقتة لتحسين الأداء."
"Cache Health:","صحة الذاكرة المؤقتة:"
"Cache Management","إدارة الذاكرة المؤقتة"
"Cache service not initialized. Please refresh the page.","خدمة الذاكرة المؤقتة غير مهيأة. يرجى تحديث الصفحة."
"Cache service reinitialized successfully.","تم إعادة تهيئة خدمة الذاكرة المؤقتة بنجاح."
"Campaigns","الحملات التسويقية"
"Campaigns Limit","حد الحملات التسويقية"
"Cancel","إلغاء"
"Cancel At Period End","الإلغاء في نهاية الفترة"
"Cancels at period end","يلغى في نهاية الفترة"
"Canned Replies","الردود الجاهزة"
"Cannot change base currency while subscriptions exist","لا يمكن تغيير العملة الأساسية أثناء وجود اشتراكات"
"cannot change","لا يمكن التغيير"
"You cannot perform this action","لا يمكنك تنفيذ هذا الإجراء"
"Capabilities","القدرات"
"Category","الفئة"
"Change","تغيير"
"Change Department","تغيير القسم"
"Change Log","سجل التغييرات"
"Change Priority","تغيير الأولوية"
"Change Status","تغيير الحالة"
"Change Tenant Status","تغيير حالة المستأجر"
"Changes will be applied after saving","سيتم تطبيق التغييرات بعد الحفظ"
"Checkout with PayPal","الدفع باستخدام PayPal"
"Choose a company","اختر شركة"
"Choose a plan","اختر خطة"
"Choose different file","اختر ملفاً آخر"
"Choose the correct department based on the issue type","اختر القسم المناسب بناءً على نوع المشكلة"
"Clear All Filters","مسح جميع الفلاتر"
"Clear All Logs","مسح جميع السجلات"
"Clear cache routing.","مسح ذاكرة التوجيه المؤقتة."
"Clear config - You might need to refresh the config caching when you change something on production environment.","مسح الإعدادات - قد تحتاج إلى تحديث ذاكرة الإعدادات المؤقتة عند تغيير شيء في بيئة الإنتاج."
"Clear framework cache, bootstrap cache and temporary files.","Clear framework cache, bootstrap cache و temporary files."
"Clear Names:","مسح الأسماء:"
"Clear search and show all","Clear search و إظهار الكل"
"Clear system log files.","مسح ملفات سجل النظام."
"Click here","انقر هنا"
"Click here to add merge fields","انقر هنا لإضافة حقول الدمج"
"Click in editor to add merge fields","انقر في المحرر لإضافة حقول الدمج"
"Click on &#039;Configure Webhooks&#039; in the Webhooks section","انقر على 'تكوين الـ Webhooks' في قسم Webhooks"
"Click to browse","انقر للتصفح"
"Click to insert","انقر للإدراج"
"Client:","العميل:"
"Client History Summary:","ملخص سجل العميل:"
"Client Id","معرّف العميل"
"Client Information","معلومات العميل"
"Client Message:","رسالة العميل:"
"Client Secret","الرمز السري للعميل"
"Client Since:","عميل منذ:"
"Close","إغلاق"
"Close Ticket","إغلاق التذكرة"
"Closed","مغلق"
"Closed Tickets","التذاكر المغلقة"
"Cluster","مجموعة"
"Code","الكود"
"Collect and calculate taxes on subscriptions and invoices","تحصيل وحساب الضرائب على الاشتراكات والفواتير"
"Color","اللون"
"Company Address","عنوان الشركة"
"Company City","مدينة الشركة"
"Company Email","البريد الإلكتروني للشركة"
"Company Information","معلومات الشركة"
"Company Name","اسم الشركة"
"Company State","ولاية الشركة"
"Company Zip Code","الرمز البريدي للشركة"
"Complete your payment using Razorpay","أكمل دفعتك باستخدام Razorpay"
"Completion Rate","معدل الإنجاز"
"Comprehensive view of all support tickets","عرض شامل لجميع تذاكر الدعم"
"Configuration stored successfully","تم حفظ الإعدادات بنجاح"
"Configuration sync required:","مطلوب مزامنة الإعدادات:"
"configure","configure"
"Configure and manage your payment gateway integrations. Enable or disable payment methods and customize their settings.","تكوين و manage your payment gateway integrations. Enable أو disable payment methods و customize their settings."
"Configure Partner Logos for your site","تكوين شعارات الشركاء لموقعك"
"Configure PayPal payment gateway settings for secure and global payment processing","Configure PayPal payment gateway settings for secure و global payment processing"
"Configure Paystack payment gateway for accepting payments","تكوين بوابة دفع Paystack لقبول المدفوعات"
"Configure Razorpay payment gateway to accept UPI, cards, net banking, and wallet payments","Configure Razorpay payment gateway to accept UPI, cards, net banking, و wallet payments"
"Configure Redis environment variables in .env file","تكوين متغيرات بيئة Redis في ملف .env"
"Configure your Stripe payment gateway settings","قم بتكوين إعدادات بوابة دفع Stripe"
"Configure Stripe Webhooks","تكوين Webhooks لـ Stripe"
"Configure tax rates and settings for invoices","Configure tax rates و settings for invoices"
"Configure how tenants can pay you using offline payment methods.","تكوين كيفية دفع المستأجرين لك باستخدام طرق الدفع غير المتصلة."
"Configure the Custom CSS for your site","تكوين CSS المخصص لموقعك"
"Configure the Custom JS for your site","تكوين JS المخصص لموقعك"
"Configure the  Feature for your site","تكوين الميزة لموقعك"
"Configure the plans page title and link for your site","Configure the plans page title و link for your site"
"Configure the section title subtitle for your site","تكوين عنوان وعنوان فرعي للقسم في موقعك"
"Configure the Testimonial for your site","تكوين الشهادات لموقعك"
"Configure the Unique Feature for your site","تكوين الميزة الفريدة لموقعك"
"Configure the webhook endpoint for your Meta WhatsApp Business API integration.You&#039;ll need:","تكوين نقطة نهاية webhook لتكامل Meta WhatsApp Business API. ستحتاج إلى:"
"Configure these events in your Paystack dashboard:","قم بتكوين هذه الأحداث في لوحة تحكم Paystack:"
"Configure Webhook","تكوين Webhook"
"Configure webhooks to receive real-time payment updates from your payment providers.","قم بتكوين webhooks لتلقي تحديثات الدفع في الوقت الفعلي من مزودي الدفع."
" Configure your webhook connection to receive and process WhatsApp API events","Configure your webhook connection to receive و process WhatsApp API events"
"Configure your webhook connection for the WhatsApp Business API","قم بتكوين اتصال webhook الخاص بك لـ WhatsApp Business API"
"Configured","تم التكوين"
"Configuring...","جارٍ التكوين..."
"Confirm","تأكيد"
"Are you sure you want to activate this tenant?","هل أنت متأكد من تفعيل هذا المستأجر؟"
"Confirm Approval","تأكيد الموافقة"
"Are you sure you want to deactivate this tenant?","هل أنت متأكد من تعطيل هذا المستأجر؟"
"Confirm Deletion","تأكيد الحذف"
"Are you sure you want to login as :name?","هل أنت متأكد من تسجيل الدخول باسم :name؟"
"Confirm Password","تأكيد كلمة المرور"
"Confirm Password","تأكيد كلمة المرور"
"Confirm Registration","تأكيد التسجيل"
"Confirm Rejection","تأكيد الرفض"
"Are you sure you want to suspend this tenant?","هل أنت متأكد من تعليق هذا المستأجر؟"
"Require registration confirmation from administrator after tenant register","يتطلب تأكيد التسجيل من المدير بعد تسجيل المستأجر"
"Connect Webhook","ربط Webhook"
"Connected","متصل"
"Connection Status:","حالة الاتصال:"
"Connections","الاتصالات"
"Contact administrator to add fields","اتصل بالمسؤول لإضافة حقول"
"Contact disabled successfully","تم تعطيل جهة الاتصال بنجاح"
"Contact enabled successfully","تم تفعيل جهة الاتصال بنجاح"
"Contact Information","معلومات الاتصال"
"Contact Limit","حد جهات الاتصال"
"Contact Support","الاتصال بالدعم"
"Contacts","جهات الاتصال"
"Content","المحتوى"
"Conversation","محادثة"
"Conversation Limit","حد المحادثات"
"Conversations","المحادثات"
"Copied","تم النسخ"
"Copied to clipboard!","تم النسخ إلى الحافظة!"
"Copy","نسخ"
"Failed to copy to clipboard","فشل النسخ إلى الحافظة"
"Copy this secret and use it in your gateway settings","Copy this secret و use it in your gateway settings"
"Country","الدولة"
"Country Select","اختر الدولة"
"Coupon Code","كود الكوبون"
"Coupon created successfully","تم إنشاء الكوبون بنجاح"
"Coupon deleted successfully","تم حذف الكوبون بنجاح"
"This coupon has expired","انتهت صلاحية هذه القسيمة"
"Expires At","تنتهي في"
"Coupon Information","معلومات القسيمة"
"Is Active","نشط"
"Coupon Name","اسم القسيمة"
"This coupon is not active","هذه القسيمة غير نشطة"
"Coupon not found","القسيمة غير موجودة"
"This coupon has not been used yet.","لم يتم استخدام هذه القسيمة بعد."
"Starts At","يبدأ في"
"Coupon Type","نوع القسيمة"
"Coupon updated successfully","تم تحديث الكوبون بنجاح"
"Coupon Usage Details","تفاصيل استخدام القسيمة"
"Usage Limit","حد الاستخدام"
"This coupon has reached its usage limit","وصلت هذه القسيمة إلى حد استخدامها"
"Used Count","عدد الاستخدامات"
"Coupon Value","قيمة القسيمة"
"Coupons","الكوبونات"
"Cover page image","صورة الغلاف"
"Create a Facebook App in the","أنشئ تطبيق فيسبوك في"
"Create your account to get started","أنشئ حسابك للبدء"
"Create Account","إنشاء حساب"
"Create your account to get started with WhatsApp marketing","أنشئ حسابك للبدء في التسويق عبر واتساب"
"Create Coupon","إنشاء كوبون"
"Create Department","إنشاء قسم"
"Create New Page","إنشاء صفحة جديدة"
"Create New Ticket","إنشاء تذكرة جديدة"
"Create Plan","إنشاء خطة"
"Create Support Ticket","إنشاء تذكرة دعم"
"Create Tenant","إنشاء مستأجر"
"Create Ticket","إنشاء تذكرة"
"Create User","إنشاء مستخدم"
"Created","تم الإنشاء"
"Created:","تم الإنشاء:"
"Created At","تاريخ الإنشاء"
"Created From","تم الإنشاء من"
"Created Until","تم الإنشاء حتى"
"Creating a Ticket","إنشاء تذكرة"
"Credit Added","تم إضافة الرصيد"
"Credit Applied","تم تطبيق الرصيد"
"Credit Balances","أرصدة الائتمان"
"Overview of all tenant accounts with positive credit balances","نظرة عامة على جميع حسابات المستأجرين ذات الأرصدة الإيجابية"
"Accept credit cards and international payments","Accept credit cards و international payments"
"Credit &amp; Debit Cards","البطاقات الائتمانية والخصم"
"Credit Deducted","تم خصم الرصيد"
"Credit Details","تفاصيل الرصيد"
"Credit List","قائمة الأرصدة"
"Credit Management","إدارة الرصيد"
"Credit Transaction History","سجل معاملات الرصيد"
"Critical","حرج"
"Critical issues requiring immediate attention","مشاكل حرجة تتطلب اهتماماً فورياً"
"Cron job executed successfully","تم تنفيذ مهمة Cron بنجاح"
"Cron Job Not Running","مهمة Cron لا تعمل"
"Cronjob","مهمة Cron"
"Connect to your server via SSH or any preferred method.","Connect to your server via SSH أو any preferred method."
"Open the crontab file using a text editor (e.g., `crontab -e`).","افتح ملف crontab باستخدام محرر نصوص (مثل `crontab -e`)."
"Add the above command to the crontab file and save it.","Add the above command to the crontab file و save it."
"The cronjob will now run at every minute and execute the specified command.","The cronjob will now run at every minute و execute the specified command."
"Schedule and manage automated background tasks, ensuring timely execution of system maintenance and periodic processes.","جدولة وإدارة المهام التلقائية في الخلفية، مما يضمن التنفيذ في الوقت المناسب لصيانة النظام والعمليات الدورية."
"Congratulations! Your cronjob is running.","تهانينا! مهمة الـ cronjob تعمل الآن."
"Currency","العملة"
"Currency added successfully","تم إضافة العملة بنجاح"
"Currency Code","رمز العملة"
"Currency delete failed","فشل حذف العملة"
"Currency deleted successfully","تم حذف العملة بنجاح"
"To avoid issues, make sure you select the correct base currency for your business before adding any plans or accepting payments.","To avoid issues, make sure you select the correct base currency for your business before adding any plans أو accepting payments."
"Currency Placement","موضع العملة"
"Currency save failed","فشل حفظ العملة"
"Currency updated successfully","تم تحديث العملة بنجاح"
"Current Password","كلمة المرور الحالية"
"Current Period","الفترة الحالية"
"Current Subscription","الاشتراك الحالي"
"Your `.env` files are out of sync with the current system requirements.","ملفات `.env` الخاصة بك غير متزامنة مع متطلبات النظام الحالية."
"to update them automatically.","لتحديثها تلقائياً."
"Custom CSS","CSS مخصص"
"Custom CSS settings","إعدادات CSS المخصص"
"Custom domain is configured for this tenant","تم تكوين نطاق مخصص لهذا المستأجر"
"Custom Fields","حقول مخصصة"
"Custom JavaScript","JavaScript مخصص"
"Custom JS for Footer","JS مخصص للتذييل"
"Custom JS for Header","JS مخصص للرأس"
"Custom JS settings","إعدادات JS المخصص"
"Customer","عميل"
"customer.subscription.created","تم إنشاء الاشتراك"
"Dark","داكن"
"Dark Logo","الشعار الداكن"
"Dashboard","لوحة التحكم"
"Database upgraded successfully","تم ترقية قاعدة البيانات بنجاح"
"Date","التاريخ"
"Date Format","صيغة التاريخ"
"Date","التاريخ"
"Datetime","التاريخ والوقت"
"Days","أيام"
"Days Left","الأيام المتبقية"
"Days Remaining","الأيام الباقية"
"Deactivate","تعطيل"
"Deactivate Departments","تعطيل الأقسام"
"Deactivate License","تعطيل الترخيص"
"This will temporarily suspend the tenant&#039;s access.","سيؤدي هذا إلى تعليق وصول المستأجر مؤقتاً."
"Deactive","غير نشط"
"Debug","التصحيح"
"false","false"
"Decimal Separator","فاصل عشري"
"Default","افتراضي"
"Default Country Code","رمز الدولة الافتراضي"
"Item","عنصر"
"Default Language","اللغة الافتراضية"
"Default Language","اللغة الافتراضية"
"Default Plan","الخطة الافتراضية"
"This plan is selected by default for new tenants","يتم اختيار هذه الخطة افتراضياً للمستأجرين الجدد"
"Default plan set successfully","تم تعيين الخطة الافتراضية بنجاح"
"This is the default subdomain for accessing the tenant","هذا هو النطاق الفرعي الافتراضي للوصول إلى المستأجر"
"Default Taxes","الضرائب الافتراضية"
"Default Tenant Language","لغة المستأجر الافتراضية"
"Delete","حذف"
"Delete Contact","حذف جهة الاتصال"
"Delete Coupon","حذف القسيمة"
"Delete Currency","حذف العملة"
"Are you sure you want to delete this department? This action cannot be undone.","هل أنت متأكد من حذف هذا القسم؟ لا يمكن التراجع عن هذا الإجراء."
"Delete Department","حذف القسم"
"Delete Departments","حذف الأقسام"
"Delete FAQ","حذف السؤال الشائع"
"Delete Image","حذف الصورة"
"Are you sure you want to delete this image? This action cannot be undone and will permanently remove the image from your collection","Are you sure you want to delete this image? This action cannot be undone و will permanently remove the image from your collection"
"Delete Language","حذف اللغة"
"Delete Log File","حذف ملف السجل"
"Are you sure you want to delete this log file? This action cannot be undone.","هل أنت متأكد من حذف هذا ملف السجل؟ لا يمكن التراجع عن هذا الإجراء."
"Are you sure you want to perform this action ?","هل أنت متأكد من تنفيذ هذا الإجراء؟"
"Delete Page","حذف الصفحة"
"Delete Plan","حذف الخطة"
"Are you sure you want to delete this plan? This may affect existing subscriptions.","هل أنت متأكد من حذف هذه الخطة؟ قد يؤثر ذلك على الاشتراكات الحالية."
"Delete Plan","حذف الخطة"
"Delete Role","حذف الدور"
"Delete Tax","حذف الضريبة"
"Are you sure you want to mark this tenant for deletion? The tenant will continue to have access until their current subscription expires. No renewal invoices will be generated for marked tenants. Once the subscription expires, the tenant and all associated data including invoices, transactions, subscriptions, and account records will be permanently deleted by the cleanup process. This data cannot be recovered after deletion","هل أنت متأكد من تحديد هذا المستأجر للحذف؟ سيستمر المستأجر في الوصول حتى انتهاء اشتراكه الحالي. لن يتم إنشاء فواتير تجديد للمستأجرين المحددين. بعد انتهاء الاشتراك، سيتم حذف المستأجر وجميع البيانات المرتبطة بشكل دائم بما في ذلك الفواتير والمعاملات والاشتراكات وسجلات الحساب. لا يمكن استرداد هذه البيانات بعد الحذف"
"Delete Tenant Language","حذف لغة المستأجر"
"Delete Tenant","حذف المستأجر"
"Delete Ticket","حذف التذكرة"
"Delete Tickets","حذف التذاكر"
"Delete User","حذف المستخدم"
"Delete Webhook","حذف Webhook"
"Are you sure you want to delete this webhook? This action will remove the webhook configuration from Stripe and your application and you will stop receiving webhook events from Stripe. This action cannot be undone.","هل أنت متأكد من حذف هذا الـ webhook؟ سيؤدي ذلك إلى إزالة إعدادات webhook من Stripe وتطبيقك ولن تتلقى أحداث webhook من Stripe. لا يمكن التراجع عن هذا الإجراء."
"Deleting departments affects existing tickets","حذف الأقسام يؤثر على التذاكر الموجودة"
"Warning: Deleting departments will also affect associated tickets. This action cannot be undone.","تحذير: سيؤدي حذف الأقسام أيضاً إلى التأثير على التذاكر المرتبطة. لا يمكن التراجع عن هذا الإجراء."
"Deletion Impact:","تأثير الحذف:"
"Department","القسم"
"Department Added Successfully","تم إضافة القسم بنجاح"
"Failed to delete department","فشل حذف القسم"
"Department Deleted Successfully","تم حذف القسم بنجاح"
"Department has been deleted successfully.","تم حذف القسم بنجاح."
"Department:","القسم:"
"This department has tickets assigned to it.","هذا القسم لديه تذاكر معينة له."
"Department has tickets error","خطأ: القسم يحتوي على تذاكر"
"Department is activated","تم تفعيل القسم"
"Department is deactivated","تم تعطيل القسم"
"Department Management Guidelines","إرشادات إدارة الأقسام"
"Department Name","اسم القسم"
"Failed to save department","فشل حفظ القسم"
"Department saved successfully","تم حفظ القسم بنجاح"
"Department Statistics","إحصائيات القسم"
"Department status changed to","تم تغيير حالة القسم إلى"
"Department Updated Successfully","تم تحديث القسم بنجاح"
"Departments have been activated.","تم تفعيل الأقسام."
"Departments have been deactivated.","تم تعطيل الأقسام."
"Departments Management","إدارة الأقسام"
"departments selected","الأقسام المحددة"
"Departments Translated","ترجمة الأقسام"
"Departments updated successfully","تم تحديث الأقسام بنجاح"
"Description","الوصف"
